time,raw_data,1_after_scaling,2_after_smoothing,3_after_bias,4_after_hysteresis,steady
168.67,1.52749e+06,0.0597278,0.0440817,0,0,1
168.76,1.52754e+06,0.0967331,0.0442765,0,0,1
168.84,1.52755e+06,0.0999792,0.0481718,0,0,1
168.93,1.52753e+06,0.0863457,0.0518723,0,0,1
169.01,1.52756e+06,0.109717,0.0592734,0,0,1
169.1,1.52751e+06,0.0746598,0.0664797,0,0,1
169.18,1.52753e+06,0.0869949,0.0737509,0,0,1
169.27,1.52753e+06,0.0869949,0.0792692,0,0,1
169.36,1.52747e+06,0.0499896,0.0791394,0,0,1
169.44,1.52751e+06,0.0759582,0.0827101,0,0,1
169.53,1.52744e+06,0.0305131,0.0797886,0,0,1
169.61,1.52743e+06,0.0227226,0.0723876,0,0,1
169.7,1.52746e+06,0.0447959,0.0668692,0,0,1
169.79,1.52748e+06,0.0538849,0.0636231,0,0,1
169.87,1.52749e+06,0.0597278,0.0586242,0,0,1
169.96,1.52752e+06,0.0805028,0.0592085,0,0,1
170.04,1.52751e+06,0.0746598,0.057975,0,0,1
170.13,1.5275e+06,0.0720629,0.0564818,0,0,1
170.21,1.52754e+06,0.0921886,0.0607017,0,0,1
170.3,1.52755e+06,0.103875,0.0634933,0,0,1
170.38,1.52755e+06,0.101278,0.0705698,0,0,1
170.47,1.52751e+06,0.0772567,0.0760232,0,0,1
170.56,1.52749e+06,0.0597278,0.0775164,0,0,1
170.64,1.52744e+06,0.03311,0.0754389,0,0,1
170.73,1.52747e+06,0.0499896,0.074465,0,0,1
170.81,1.52747e+06,0.0473927,0.071154,0,0,1
170.9,1.52741e+06,0.0103875,0.0647268,0,0,1
170.99,1.52745e+06,0.0389529,0.0614158,0,0,1
171.07,1.52748e+06,0.0532357,0.0575205,0,0,1
171.16,1.5275e+06,0.0714137,0.0542744,0,0,1
171.24,1.52752e+06,0.081152,0.0522619,0,0,1
171.33,1.5275e+06,0.0714137,0.0516776,0,0,1
171.41,1.52758e+06,0.119456,0.0576504,0,0,1
171.5,1.52757e+06,0.116859,0.0660252,0,0,1
171.59,1.52753e+06,0.0869949,0.0697258,0,0,1
171.67,1.52752e+06,0.0798535,0.0729719,0,0,1
171.76,1.52751e+06,0.0727122,0.0792043,0,0,1
171.84,1.52754e+06,0.0954347,0.0848525,0,0,1
171.93,1.52751e+06,0.0740106,0.08693,0,0,1
172.02,1.52749e+06,0.0642724,0.0862159,0,0,1
172.1,1.5275e+06,0.0681677,0.0849174,0,0,1
172.19,1.52748e+06,0.0545341,0.0832295,0,0,1
172.27,1.52752e+06,0.084398,0.0797237,0,0,1
172.36,1.52756e+06,0.105173,0.0785551,0,0,1
172.44,1.52754e+06,0.0973824,0.0795939,0,0,1
172.53,1.52758e+06,0.120754,0.0836839,0,0,1
172.62,1.5275e+06,0.0655708,0.0829698,0,0,1
172.7,1.52746e+06,0.0460943,0.0780357,0,0,1
172.79,1.52748e+06,0.0558326,0.0762179,0,0,1
172.87,1.52754e+06,0.0973824,0.0795289,0,0,1
172.96,1.52756e+06,0.109717,0.0836839,0,0,1
173.05,1.52751e+06,0.0746598,0.0856965,0,0,1
173.13,1.52749e+06,0.0623247,0.0834891,0,0,1
173.22,1.52749e+06,0.0616755,0.0791394,0,0,1
173.3,1.52751e+06,0.0766075,0.0770619,0,0,1
173.39,1.52751e+06,0.0766075,0.0726472,0,0,1
173.47,1.52746e+06,0.0441467,0.0705048,0,0,1
173.56,1.52747e+06,0.0493404,0.0708294,0,0,1
173.65,1.5275e+06,0.0720629,0.0724525,0,0,1
173.73,1.52749e+06,0.0616755,0.0688818,0,0,1
173.82,1.52752e+06,0.0830996,0.06622,0,0,1
173.9,1.52744e+06,0.0305131,0.0618053,0,0,1
173.99,1.52746e+06,0.0402514,0.059598,0,0,1
174.08,1.52754e+06,0.0967331,0.0631038,0,0,1
174.16,1.52754e+06,0.0921886,0.0646619,0,0,1
174.25,1.52748e+06,0.0532357,0.0623247,0,0,1
174.33,1.5275e+06,0.0688169,0.0647917,0,0,1
174.42,1.52747e+06,0.0493404,0.0647917,0,0,1
174.5,1.52753e+06,0.090241,0.0666095,0,0,1
174.59,1.52755e+06,0.102576,0.0706996,0,0,1
174.68,1.52751e+06,0.075309,0.0699205,0,0,1
174.76,1.52751e+06,0.0733614,0.0742054,0,0,1
174.85,1.52748e+06,0.0590786,0.0760881,0,0,1
174.93,1.52755e+06,0.101927,0.0766075,0,0,1
175.02,1.52758e+06,0.119456,0.0793342,0,0,1
175.1,1.52752e+06,0.0785551,0.0818661,0,0,1
175.19,1.52756e+06,0.105822,0.0855666,0,0,1
175.28,1.52754e+06,0.0934871,0.0899813,0,0,1
175.36,1.52755e+06,0.09933,0.0908902,0,0,1
175.45,1.52756e+06,0.109068,0.0915394,0,0,1
175.53,1.5275e+06,0.0681677,0.0908253,0,0,1
175.62,1.52746e+06,0.042199,0.087709,0,0,1
175.71,1.52749e+06,0.0629739,0.0880986,0,0,1
175.79,1.5275e+06,0.0668692,0.0845928,0,0,1
175.88,1.52743e+06,0.0246702,0.0751143,0,0,1
175.96,1.52747e+06,0.0493404,0.0721928,0,0,1
176.05,1.52748e+06,0.0584294,0.0674535,0,0,1
176.13,1.52753e+06,0.0876441,0.0668692,0,0,1
176.22,1.52759e+06,0.128545,0.0697907,0,0,1
176.31,1.52757e+06,0.11556,0.0704399,0,0,1
176.39,1.52752e+06,0.0830996,0.0719331,0,0,1
176.48,1.52751e+06,0.0740106,0.0751143,0,0,1
176.56,1.52753e+06,0.0882933,0.0776462,0,0,1
176.65,1.52756e+06,0.109717,0.081931,0,0,1
176.73,1.52752e+06,0.081152,0.0875792,0,0,1
176.82,1.52745e+06,0.0357069,0.0862159,0,0,1
176.91,1.52748e+06,0.0558326,0.0859562,0,0,1
176.99,1.52751e+06,0.0779059,0.0849823,0,0,1
177.08,1.52748e+06,0.0558326,0.0777111,0,0,1
177.16,1.52749e+06,0.0616755,0.0723226,0,0,1
177.25,1.52753e+06,0.0863457,0.0726472,0,0,1
177.34,1.52756e+06,0.104524,0.0756986,0,0,1
177.42,1.52746e+06,0.0409006,0.0709593,0,0,1
177.51,1.52746e+06,0.0396022,0.0639478,0,0,1
177.59,1.52753e+06,0.0876441,0.064597,0,0,1
177.68,1.52756e+06,0.110367,0.0720629,0,0,1
177.76,1.52753e+06,0.0895918,0.0754389,0,0,1
177.85,1.52751e+06,0.0772567,0.0753739,0,0,1
177.94,1.52745e+06,0.0363561,0.0734263,0,0,1
178.02,1.52748e+06,0.0538849,0.0726472,0,0,1
178.11,1.52749e+06,0.0636231,0.070375,0,0,1
178.19,1.52749e+06,0.0649216,0.0664148,0,0,1
178.28,1.52753e+06,0.090241,0.0713488,0,0,1
178.36,1.5275e+06,0.0707645,0.074465,0,0,1
178.45,1.52751e+06,0.0727122,0.0729719,0,0,1
178.54,1.52749e+06,0.0642724,0.0683624,0,0,1
178.62,1.52749e+06,0.0603771,0.0654409,0,0,1
178.71,1.52747e+06,0.0486912,0.0625844,0,0,1
178.79,1.52747e+06,0.0473927,0.0636881,0,0,1
178.88,1.52748e+06,0.0532357,0.0636231,0,0,1
178.97,1.52746e+06,0.0402514,0.061286,0,0,1
179.05,1.52749e+06,0.0616755,0.0609614,0,0,1
179.14,1.52751e+06,0.0766075,0.059598,0,0,1
179.22,1.52746e+06,0.0460943,0.057131,0,0,1
179.31,1.5275e+06,0.0701153,0.0568713,0,0,1
179.39,1.52754e+06,0.0967331,0.0601174,0,0,1
179.48,1.52756e+06,0.110367,0.0651163,0,0,1
179.57,1.52751e+06,0.075309,0.0677781,0,0,1
179.65,1.52747e+06,0.051288,0.0681677,0,0,1
179.74,1.52755e+06,0.0986808,0.0727122,0,0,1
179.82,1.52751e+06,0.0733614,0.0760232,0,0,1
179.91,1.52754e+06,0.0941363,0.0792692,0,0,1
179.99,1.52755e+06,0.0986808,0.0814766,0,0,1
180.08,1.52757e+06,0.112314,0.0880986,0,0,1
180.17,1.52754e+06,0.0934871,0.0904358,0,0,1
180.25,1.52745e+06,0.0370053,0.084463,0,0,1
180.34,1.52748e+06,0.0525865,0.0786849,0,0,1
180.42,1.52754e+06,0.0960839,0.0807624,0,0,1
180.51,1.52755e+06,0.09933,0.0855666,0,0,1
180.6,1.52749e+06,0.0603771,0.0817363,0,0,1
180.68,1.52744e+06,0.0292147,0.0773216,0,0,1
180.77,1.5275e+06,0.0675184,0.0746598,0,0,1
180.85,1.52751e+06,0.0740106,0.0721928,0,0,1
180.94,1.52753e+06,0.0869949,0.0696608,0,0,1
181.02,1.52752e+06,0.0785551,0.0681677,0,0,1
181.11,1.52751e+06,0.0727122,0.0717383,0,0,1
181.2,1.52746e+06,0.0396022,0.0704399,0,0,1
181.28,1.52751e+06,0.0746598,0.0682975,0,0,1
181.37,1.52751e+06,0.0740106,0.0657656,0,0,1
181.45,1.52749e+06,0.0636231,0.0660902,0,0,1
181.54,1.52749e+06,0.0642724,0.0695959,0,0,1
181.63,1.52752e+06,0.0837488,0.071219,0,0,1
181.71,1.52753e+06,0.0863457,0.0724525,0,0,1
181.8,1.52754e+06,0.0954347,0.0732965,0,0,1
181.88,1.52755e+06,0.09933,0.0753739,0,0,1
181.97,1.52747e+06,0.048042,0.0729069,0,0,1
182.05,1.52744e+06,0.0305131,0.071998,0,0,1
182.14,1.52747e+06,0.051288,0.0696608,0,0,1
182.23,1.52751e+06,0.0772567,0.0699855,0,0,1
182.31,1.52746e+06,0.0428482,0.067908,0,0,1
182.4,1.52747e+06,0.0499896,0.0664797,0,0,1
182.48,1.52751e+06,0.0766075,0.0657656,0,0,1
182.57,1.52751e+06,0.0772567,0.0648567,0,0,1
